Title,Genre
The Umbrellas of Cherbourg (1964),Drama|Musical|Romance
The Tie That Binds (1995),Crime|Drama|Thriller
Three Wishes (1995),Drama|Fantasy
Total Eclipse (1995),Biography|Drama|Romance
"To Wong Foo Thanks for Everything, Julie Newmar (1995)",Comedy|Drama
Under Siege 2: Dark Territory (1995),Action|Thriller
Unstrung Heroes (1995),Comedy|Drama
Unzipped (1995),Documentary
A Walk in the Clouds (1995),Drama|Romance
Waterworld (1995),Action|Adventure|Sci-Fi
White Man's Burden (1995),Drama|Thriller
Wild Bill (1995),Action|Biography|Western
The Browning Version (1994),Drama
Bushwhacked (1995),Adventure|Comedy|Crime
Burnt by the Sun (1994),Drama|War
Before the Rain (1994),Drama|War
Before Sunrise (1995),Drama|Romance
Billy Madison (1995),Comedy
The Babysitter (1995),Drama|Thriller
Boys on the Side (1995),Comedy|Drama
The Cure (1995),Drama
Castle Freak (1995),Drama|Horror|Mystery
Circle of Friends (1995),Drama|Romance
Clerks (1994),Comedy
Don Juan DeMarco (1994),Comedy|Drama|Romance
Disclosure (1994),Drama|Thriller
Dream Man (1995),Thriller
Drop Zone (1994),Action|Adventure|Thriller
Destiny Turns on the Radio (1995),Crime|Comedy|Fantasy
Death and the Maiden (1994),Drama|Mystery|Thriller
Dolores Claiborne (1995),Crime|Drama|Mystery
Dumb & Dumber (1994),Comedy
Eat Drink Man Woman (1994),Comedy|Drama|Romance
Exotica (1994),Drama
Exit to Eden (1994),Comedy|Crime|Romance
Ed Wood (1994),Biography|Comedy|Drama
French Kiss (1995),Comedy|Drama|Romance
Forget Paris (1995),Comedy|Romance
Far from Home: The Adventures of Yellow Dog (1995),Adventure|Family
A Goofy Movie (1995),Animation|Adventure|Comedy
Hideaway (1995),Fantasy|Horror|Thriller
Fluke (1995),Drama|Family|Fantasy
Farinelli (1994),Biography|Drama|Music
Gordy (1995),Comedy|Drama|Family
Gumby: The Movie (1995),Animation|Action|Adventure
The Glass Shield (1994),Crime|Drama
Hoop Dreams (1994),Documentary|Drama|Sport
Heavenly Creatures (1994),Biography|Crime|Drama
Houseguest (1995),Comedy
Immortal Beloved (1994),Biography|Drama|Music
Heavy Weights (1995),Comedy|Drama|Family
The Hunted (1995),Action|Drama|Thriller
I.Q. (1994),Comedy|Romance
Interview with the Vampire: The Vampire Chronicles (1994),Drama|Fantasy|Horror
Jefferson in Paris (1995),Biography|Drama|History
The Jerky Boys (1995),Comedy|Crime
Junior (1994),Comedy|Romance|Sci-Fi
Just Cause (1995),Action|Crime|Drama
A Kid in King Arthur's Court (1995),Adventure|Comedy|Family
Kiss of Death (1995),Action|Crime|Thriller
Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy
Little Women (1994),Drama|Family|Romance
A Little Princess (1995),Drama|Family|Fantasy
Ladybird Ladybird (1994),Drama
L'Enfer (1994),Crime|Drama|Thriller
Como agua para chocolate (1992),Drama|Romance
Legends of the Fall (1994),Drama|Romance|War
Major Payne (1995),Adventure|Comedy|Family
Little Odessa (1994),Crime|Drama
Mi vida loca (1993),Crime|Drama
Love Affair (1994),Comedy|Drama|Romance
Losing Isaiah (1995),Drama
The Madness of King George (1994),Biography|Comedy|Drama
Mary Shelley's Frankenstein (1994),Drama|Horror|Romance
Man of the House (1995),Comedy|Family
Mixed Nuts (1994),Comedy|Drama
Milk Money (1994),Comedy|Romance
Miracle on 34th Street (1994),Family|Fantasy
Miami Rhapsody (1995),Comedy
My Family (1995),Drama
Murder in the First (1995),Drama|Thriller
Nobody's Fool (1994),Comedy|Drama
Nell (1994),Drama
New Jersey Drive (1995),Crime|Drama
New York Cop (1993),Action|Crime|Drama
Beyond Bedlam (1994),Comedy|Horror
Nemesis 2: Nebula (1995),Action|Sci-Fi|Thriller
Nina Takes a Lover (1994),Comedy|Romance
Natural Born Killers (1994),Crime|Drama
Only You (1994),Comedy|Romance
Once Were Warriors (1994),Crime|Drama
Poison Ivy II (1996),Drama|Thriller
Outbreak (1995),Action|Drama|Thriller
Lí©on: The Professional (1994),Crime|Drama|Thriller
The Perez Family (1995),Comedy|Romance|Drama
A Pyromaniac's Love Story (1995),Comedy|Romance
Pulp Fiction (1994),Crime|Drama
Panther (1995),Drama
Tui shou (1992),Comedy|Drama
Priest (1994),Drama|Romance
Quiz Show (1994),Biography|Drama|History
Picture Bride (1994),Drama|Romance
Queen Margot (1994),Biography|Crime|Drama
The Quick and the Dead (1995),Action|Romance|Thriller
Roommates (1995),Comedy|Drama
Ready to Wear (1994),Comedy|Drama
Three Colors: Red (1994),Drama|Mystery|Romance
Three Colors: Blue (1993),Drama|Music|Mystery
Three Colors: White (1994),Comedy|Drama|Romance
Pao Da Shuang Deng (1994),Drama|Romance
Rent-a-Kid (1995),Drama|Family|Comedy
Relative Fear (1994),Drama|Horror|Thriller
Stuart Saves His Family (1995),Comedy|Drama
The Swan Princess (1994),Animation|Comedy|Family
The Secret of Roan Inish (1994),Drama|Family|Fantasy
The Specialist (1994),Action|Crime|Drama
Stargate (1994),Action|Adventure|Sci-Fi
The Santa Clause (1994),Comedy|Drama|Family
The Shawshank Redemption (1994),Crime|Drama
Shallow Grave (1994),Crime|Thriller
Suture (1993),Drama|Thriller
Strawberry and Chocolate (1993),Comedy|Drama|Romance
Swimming with Sharks (1994),Comedy|Crime
The Sum of Us (1994),Comedy|Drama
Senior Trip (1995),Adventure|Comedy
To Live (1994),Drama|History|War
Tank Girl (1995),Action|Comedy|Sci-Fi
Tales from the Crypt: Demon Knight (1995),Action|Fantasy|Horror
Star Trek: Generations (1994),Action|Adventure|Mystery
Tales from the Hood (1995),Crime|Horror|Thriller
Tom & Viv (1994),Biography|Drama|Romance
Village of the Damned (1995),Horror|Sci-Fi|Thriller
Tommy Boy (1995),Adventure|Comedy
Vanya on 42nd Street (1994),Comedy|Drama|Romance
The Underneath (1995),Crime|Thriller
The Walking Dead (1995),Drama|War
What's Eating Gilbert Grape (1993),Drama
Virtuosity (1995),Action|Crime|Sci-Fi
While You Were Sleeping (1995),Comedy|Drama|Romance
The War (1994),Drama
Double Happiness (1994),Drama|Romance
Muriel's Wedding (1994),Comedy|Drama|Romance
The Baby-Sitters Club (1995),Comedy|Drama|Family
Ace Ventura: Pet Detective (1994),Comedy
"The Adventures of Priscilla, Queen of the Desert (1994)",Comedy|Music
Backbeat (1994),Biography|Drama|Music
Bitter Moon (1992),Drama|Romance|Thriller
Bullets Over Broadway (1994),Comedy|Crime
Clear and Present Danger (1994),Action|Crime|Drama
The Client (1994),Crime|Drama|Mystery
"Corrina, Corrina (1994)",Comedy|Drama|Romance
Crooklyn (1994),Comedy|Drama
The Crow (1994),Action|Drama|Fantasy
Cobb (1994),Biography|Drama|Sport
The Flintstones (1994),Comedy|Family|Fantasy
Forrest Gump (1994),Comedy|Drama|Romance
Four Weddings and a Funeral (1994),Comedy|Drama|Romance
Higher Learning (1995),Crime|Drama|Romance
I Like It Like That (1994),Comedy|Drama|Romance
I Love Trouble (1994),Action|Comedy|Romance
It Could Happen to You (1994),Comedy|Drama|Romance
The Jungle Book (1994),Adventure|Family|Romance
Die Macht der Bilder: Leni Riefenstahl (1993),Documentary|Biography|History
The Lion King (1994),Animation|Adventure|Drama
Little Buddha (1993),Drama
New Nightmare (1994),Fantasy|Horror|Mystery
The Mask (1994),Comedy|Family|Fantasy
Maverick (1994),Action|Adventure|Comedy
Mrs. Parker and the Vicious Circle (1994),Biography|Drama
Naked Gun 33 1/3: The Final Insult (1994),Comedy|Crime
The Paper (1994),Comedy|Drama
Reality Bites (1994),Comedy|Drama|Romance
Red Rock West (1993),Crime|Drama|Thriller
RiŒ¢hie RiŒ¢h (1994),Comedy|Family
Safe Passage (1994),Drama
The River Wild (1994),Action|Adventure|Crime
Speed (1994),Action|Adventure|Crime
Speechless (1994),Comedy|Romance
Timecop (1994),Action|Crime|Sci-Fi
True Lies (1994),Action|Comedy|Thriller
When a Man Loves a Woman (1994),Drama|Romance
Wolf (1994),Drama|Horror|Romance
Wyatt Earp (1994),Adventure|Biography|Crime
Bad Company (1995),Crime|Drama|Thriller
A Man of No Importance (1994),Comedy|Drama
S.F.W. (1994),Comedy|Drama
A Low Down Dirty Shame (1994),Action|Comedy|Crime
"Boys Life: Three Stories of Love, Lust, and Liberation (1994)",Drama
Colonel Chabert (1994),Drama|History|Romance
"Faster, Pussycat! Kill! Kill! (1965)",Action|Comedy
Jason's Lyric (1994),Crime|Drama|Romance
The Secret Adventures of Tom Thumb (1993),Animation|Adventure|Sci-Fi
Street Fighter (1994),Action|Adventure|Comedy
Coldblooded (1995),Action|Comedy|Thriller
Desert Winds (1994),Drama|Mystery|Romance
Fall Time (1995),Drama|Comedy|Crime
The Fear (1995),Horror
Frank and Ollie (1995),Documentary
Girl in the Cadillac (1995),Adventure|Crime|Drama
Homage (1995),Drama|Thriller
Mirage (1995),Action|Thriller
Open Season (1995),Comedy
Dos crí_menes (1994),Comedy|Crime|Drama
Brother Minister: The Assassination of Malcolm X (1994),Documentary
Highlander: The Final Dimension (1994),Action|Fantasy|Romance
Federal Hill (1994),Crime|Drama
In the Mouth of Madness (1994),Fantasy|Horror|Mystery
8 Seconds (1994),Biography|Drama|Sport
Above the Rim (1994),Crime|Drama|Sport
Addams Family Values (1993),Comedy|Fantasy
Martin Lawrence: You So Crazy (1994),Documentary|Comedy
The Age of Innocence (1993),Drama|Romance
Airheads (1994),Comedy|Crime|Music
The Air Up There (1994),Comedy|Family|Sport
Another Stakeout (1993),Action|Comedy|Crime
Bad Girls (1994),Romance|Western
Barcelona (1994),Comedy|Drama|Romance
Being Human (1994),Comedy|Drama
The Beverly Hillbillies (1993),Comedy|Family
Beverly Hills Cop III (1994),Action|Comedy|Crime
Black Beauty (1994),Adventure|Drama|Family
Blink (1993),Crime|Drama|Mystery
Blown Away (1994),Action|Crime|Drama
Blue Chips (1994),Drama|Sport
Blue Sky (1994),Drama|Romance
Body Snatchers (1993),Horror|Sci-Fi
Boxing Helena (1993),Drama|Mystery|Romance
A Bronx Tale (1993),Crime|Drama
Cabin Boy (1994),Adventure|Comedy|Romance
Calendar Girl (1993),Drama|Comedy
Carlito's Way (1993),Crime|Drama|Thriller
City Slickers II: The Legend of Curly's Gold (1994),Comedy|Western
Clean Slate (1994),Comedy|Mystery
Cliffhanger (1993),Action|Adventure|Thriller
Coneheads (1993),Comedy|Sci-Fi
Color of Night (1994),Mystery|Romance|Thriller
Cops and Robbersons (1994),Comedy|Crime|Thriller
The Cowboy Way (1994),Action|Comedy|Crime
Dangerous Game (1993),Drama
Dave (1993),Comedy|Romance
Dazed and Confused (1993),Comedy
Demolition Man (1993),Action|Crime|Sci-Fi
The Endless Summer 2 (1994),Documentary|Adventure|Sport
Even Cowgirls Get the Blues (1993),Comedy|Drama|Romance
Fatal Instinct (1993),Comedy|Crime|Thriller
Farewell My Concubine (1993),Drama|Music|Romance
The Favor (1994),Comedy|Romance
Fearless (1993),Drama|Thriller
Fear of a Black Hat (1993),Comedy|Music
With Honors (1994),Comedy|Drama
Flesh and Bone (1993),Drama|Mystery|Romance
Widows' Peak (1994),Comedy|Crime|Mystery
For Love or Money (1993),Comedy|Drama|Romance
The Firm (1993),Drama|Mystery|Thriller
Free Willy (1993),Adventure|Drama|Family
Fresh (1994),Crime|Drama|Thriller
The Fugitive (1993),Action|Crime|Drama
Geronimo: An American Legend (1993),Drama|History|Western
The Getaway (1994),Action|Adventure|Crime
Getting Even with Dad (1994),Comedy|Crime|Family
Go Fish (1994),Drama|Romance
A Good Man in Africa (1994),Comedy
Guilty as Sin (1993),Crime|Drama|Thriller
Hard Target (1993),Action|Thriller
Heaven & Earth (1993),Action|Biography|Drama
Hot Shots! Part Deux (1993),Action|Comedy
Live Nude Girls (1995),Comedy
The Englishman Who Went Up a Hill But Came Down a Mountain (1995),Comedy|Drama
The House of the Spirits (1993),Drama|Romance
House Party 3 (1994),Comedy|Music|Romance
The Hudsucker Proxy (1994),Comedy|Drama|Fantasy
I'll Do Anything (1994),Comedy|Drama
In the Army Now (1994),Comedy|War
In the Line of Fire (1993),Action|Drama|Thriller
In the Name of the Father (1993),Biography|Drama
The Inkwell (1994),Romance|Comedy|Drama
What's Love Got to Do with It (1993),Biography|Drama|Music
Jimmy Hollywood (1994),Crime|Comedy|Drama
Judgment Night (1993),Action|Crime|Drama
Jurassic Park (1993),Adventure|Sci-Fi|Thriller
Kalifornia (1993),Crime|Drama|Thriller
Killing Zoe (1993),Crime|Thriller
King of the Hill (1993),Drama|History
Lassie (1994),Family|Adventure
Last Action Hero (1993),Action|Adventure|Comedy
Life with Mikey (1993),Comedy|Family
Lightning Jack (1994),Comedy|Western
M. Butterfly (1993),Drama|Romance
Made in America (1993),Comedy
Malice (1993),Crime|Mystery|Thriller
The Man Without a Face (1993),Drama
Manhattan Murder Mystery (1993),Comedy|Mystery
Menace II Society (1993),Crime|Drama|Thriller
Executive Decision (1996),Action|Adventure|Thriller
In the Realm of the Senses (1976),Biography|Drama|Horror
What Happened Was... (1994),Comedy|Drama|Romance
Much Ado About Nothing (1993),Comedy|Drama|Romance
Mr. Jones (1993),Drama|Romance
Mr. Wonderful (1993),Comedy|Romance
Mrs. Doubtfire (1993),Comedy|Drama|Family
Naked (1993),Comedy|Drama
The Next Karate Kid (1994),Action|Drama|Family
The New Age (1994),Comedy|Drama
No Escape (1994),Action|Drama|Sci-Fi
North (1994),Adventure|Comedy|Drama
Orlando (1992),Biography|Drama|Fantasy
A Perfect World (1993),Crime|Drama|Thriller
Philadelphia (1993),Drama
The Piano (1993),Drama|Music|Romance
Poetic Justice (1993),Drama|Romance
The Program (1993),Action|Drama|Sport
The Puppet Masters (1994),Horror|Sci-Fi|Thriller
Radioland Murders (1994),Comedy|Crime|Drama
The Ref (1994),Comedy|Crime|Drama
The Remains of the Day (1993),Drama|Romance
Renaissance Man (1994),Comedy|Drama
Rising Sun (1993),Action|Crime|Drama
The Road to Wellville (1994),Comedy|Drama
RoboCop 3 (1993),Action|Crime|Sci-Fi
Robin Hood: Men in Tights (1993),Adventure|Comedy|Musical
Romeo Is Bleeding (1993),Action|Crime|Drama
Romper Stomper (1992),Crime|Drama
Ruby in Paradise (1993),Drama|Romance
Rudy (1993),Biography|Drama|Sport
The Saint of Fort Washington (1993),Drama
Les nuits fauves (1992),Biography|Drama
Schindler's List (1993),Biography|Drama|History
The Scout (1994),Comedy|Drama|Sport
Searching for Bobby Fischer (1993),Biography|Drama
Second Best (1994),Drama
The Secret Garden (1993),Drama|Family|Fantasy
Serial Mom (1994),Comedy|Crime|Horror
The Shadow (1994),Action|Adventure|Crime
Shadowlands (1993),Biography|Drama|Romance
Short Cuts (1993),Comedy|Drama
A Simple Twist of Fate (1994),Drama|Comedy
Sirens (1993),Comedy|Drama|Romance
Six Degrees of Separation (1993),Comedy|Drama|Mystery
Sleepless in Seattle (1993),Comedy|Drama|Romance
Sliver (1993),Drama|Thriller
Blade Runner (1982),Sci-Fi|Thriller
Son in Law (1993),Comedy|Drama|Romance
So I Married an Axe Murderer (1993),Comedy|Romance
Striking Distance (1993),Action|Crime|Mystery
Harem (1985),Drama
Super Mario Bros. (1993),Adventure|Comedy|Family
Surviving the Game (1994),Action|Adventure|Crime
Terminal Velocity (1994),Action|Comedy|Mystery
Thirty Two Short Films About Glenn Gould (1993),Biography|Drama|Music
Threesome (1994),Comedy|Romance|Drama
The Nightmare Before Christmas (1993),Animation|Family|Fantasy
The Three Musketeers (1993),Action|Adventure|Comedy
Tombstone (1993),Action|Biography|Drama
Trial by Jury (1994),Thriller|Crime|Drama
True Romance (1993),Crime|Drama|Romance
The War Room (1993),Documentary|History
The Pagemaster (1994),Animation|Adventure|Comedy
"Paris, France (1993)",Comedy|Drama
"The Beans of Egypt, Maine (1994)",Drama
Killer (1994),Drama|Romance|Thriller
Welcome to the Dollhouse (1995),Comedy|Drama
Germinal (1993),Drama|Romance
Chasers (1994),Comedy
Cronos (1993),Horror
Naked in New York (1993),Comedy|Romance
Kika (1993),Comedy
Bhaji on the Beach (1993),Comedy|Drama
Little Big League (1994),Comedy|Family|Sport
The Slingshot (1993),Drama
Wide-Eyed and Legless,Comedy|Crime|Drama
Foreign Student (1994),Drama
"Ciao, Professore! (1992)",Comedy
Spanking the Monkey (1994),Comedy|Drama
The Little Rascals (1994),Comedy|Family|Romance
íó la mode (1993),Comedy
Andre (1994),Adventure|Drama|Family
La scorta (1993),Crime|Drama|Thriller
Princess Caraboo (1994),Comedy|Drama|History
The Celluloid Closet (1995),Documentary|History
Cafí© au lait (1993),Comedy|Romance
Caro diario (1993),Biography|Comedy|Drama
I Don't Want to Talk About It (1993),Drama|Romance
The Brady Bunch Movie (1995),Comedy
Home Alone (1990),Comedy|Family
Ghost (1990),Drama|Fantasy|Romance
Aladdin (1992),Animation|Adventure|Comedy
Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller
Dances with Wolves (1990),Adventure|Drama|Western
Tough and Deadly (1995),Action|Drama|Thriller
Batman (1989),Action|Adventure
The Silence of the Lambs (1991),Crime|Drama|Thriller
Snow White and the Seven Dwarfs (1937),Animation|Family|Fantasy
Beauty and the Beast (1991),Animation|Family|Fantasy
Pinocchio (1940),Animation|Comedy|Family
Pretty Woman (1990),Comedy|Romance
Window to Paris (1993),Comedy|Drama|Fantasy
The Wild Bunch (1969),Action|Adventure|Western
Love and a .45 (1994),Crime|Romance|Thriller
Wu kui (1994),Drama
A Great Day in Harlem (1994),Documentary|Music
Bye Bye Love (1995),Comedy
Criminals (1997),Documentary
One Fine Day (1996),Comedy|Drama|Romance
Candyman: Farewell to the Flesh (1995),Horror
Century (1993),Drama|Romance
Fargo (1996),Crime|Drama|Thriller
Homeward Bound II: Lost in San Francisco (1996),Adventure|Comedy|Family
Heavy Metal (1981),Animation|Adventure|Fantasy
Hellraiser: Bloodline (1996),Horror|Sci-Fi
The Pallbearer (1996),Comedy|Romance
Jane Eyre (1996),Drama|Romance
Loaded (1994),Drama|Thriller|Mystery
Bread and Chocolate (1974),Comedy|Drama
The AristoCats (1970),Animation|Adventure|Comedy
The Flower of My Secret (1995),Drama
Two Much (1996),Comedy|Romance
Ed (1996),Comedy|Family|Sport
Cerro Torre: Schrei aus Stein (1991),Drama
Ma saison prí©fí©rí©e (1993),Drama|Romance
A Modern Affair (1995),Comedy|Drama|Romance
Condition Red (1995),Action|Drama|Thriller
Halfaouine: Boy of the Terraces (1990),Drama|Comedy
A Thin Line Between Love and Hate (1996),Comedy|Crime|Drama
The Last Supper (1995),Comedy|Crime|Drama
Primal Fear (1996),Crime|Drama|Mystery
Rude (1995),Crime|Drama
Carried Away (1996),Drama|Romance
All Dogs Go to Heaven 2 (1996),Animation|Adventure|Family
Land and Freedom (1995),Drama|War
Denise Calls Up (1995),Comedy
Theodore Rex (1995),Action|Comedy|Family
A Family Thing (1996),Comedy|Drama
Frisk (1995),Drama|Thriller
Sgt. Bilko (1996),Comedy
Jack & Sarah (1995),Comedy|Drama|Romance
Girl 6 (1996),Comedy|Drama
Diabolique (1996),Drama|Horror|Thriller
"Little Indian, Big City (1994)",Adventure|Comedy|Romance
Roula (1995),Drama
Peanuts - Die Bank zahlt alles (1996),Comedy
Happy Weekend (1996),Comedy
Nelly & Monsieur Arnaud (1995),Drama
Courage Under Fire (1996),Action|Drama|Mystery
Mission: Impossible (1996),Action|Adventure|Thriller
Cold Fever (1995),Comedy|Drama|Mystery
